tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
43,9.829620846966144e-02,1.809265137376426e-01,3221,5929,9.829711914062500e-02,1.809387207031250e-01,2.059153813609603e-01,9.106709635553489e-07,1.220696548237532e-05
44,-2.455289007924736e-01,3.624510042979548e-03,-8045,119,-2.455139160156250e-01,3.631591796875000e-03,2.455407734293970e-01,1.498477684863664e-05,7.081753895452070e-06
45,1.171539000360693e-01,-2.271352239662421e-01,3839,-7443,1.171569824218750e-01,-2.271423339843750e-01,2.555765999031775e-01,3.082385805694421e-06,-7.110018132860940e-06
46,1.344308154908758e-01,1.942516004834979e-01,4405,6365,1.344299316406250e-01,1.942443847656250e-01,2.362250781222842e-01,-8.838502508490276e-07,-7.215717872932625e-06
47,-1.896645997037440e-01,2.449780253894958e-02,-6215,803,-1.896667480468750e-01,2.450561523437500e-02,1.912433018243828e-01,-2.148343131003205e-06,7.812695425421512e-06
48,3.856381823057821e-02,-1.212674120100150e-01,1264,-3974,3.857421875000000e-02,-1.212768554687500e-01,1.272636869832119e-01,1.040051942179099e-05,-9.443458734978427e-06
49,4.739143763423392e-02,2.754254716475549e-02,1553,903,4.739379882812500e-02,2.755737304687500e-02,5.482317919097191e-02,2.361193891076141e-06,1.482588211950547e-05
50,3.157283306757697e-02,2.462055081817600e-02,1035,807,3.158569335937500e-02,2.462768554687500e-02,4.005220244116697e-02,1.286029179803361e-05,7.134728698995896e-06
51,-6.905662440509450e-02,8.048830454736559e-02,-2263,2637,-6.906127929687500e-02,8.047485351562500e-02,1.060455673118036e-01,-4.654891780503378e-06,-1.345103174059392e-05
52,-7.046991179245422e-02,-1.472420541950992e-01,-2309,-4825,-7.046508789062500e-02,-1.472473144531250e-01,1.632393954445157e-01,4.823901829223431e-06,-5.260258025774345e-06
53,2.013528916017283e-01,4.394529307457790e-03,6598,144,2.013549804687500e-01,4.394531250000000e-03,2.014029296323118e-01,2.088867021687868e-06,1.942542210420228e-09
54,-1.046777505363847e-01,1.897873787109273e-01,-3430,6219,-1.046752929687500e-01,1.897888183593750e-01,2.167411186931116e-01,2.457567634672753e-06,1.439648447704167e-06
55,-1.148620073593072e-01,-1.739865875843858e-01,-3764,-5701,-1.148681640625000e-01,-1.739807128906250e-01,2.084801754916268e-01,-6.156703192761181e-06,5.874693760787864e-06
56,1.774902997426973e-01,-1.953323347013959e-02,5816,-640,1.774902343750000e-01,-1.953125000000000e-02,1.785616224866221e-01,-6.536769733833658e-08,1.983470139590993e-06
57,-4.310236197307910e-02,1.240954810779409e-01,-1412,4066,-4.309082031250000e-02,1.240844726562500e-01,1.313536263282587e-01,1.154166057909523e-05,-1.100842169086957e-05
58,-5.813990488536884e-02,-4.562536871543210e-02,-1905,-1495,-5.813598632812500e-02,-4.562377929687500e-02,7.390075874897291e-02,3.918557243839937e-06,1.589418557101929e-06
59,3.064818915840659e-03,-2.770927624664849e-02,100,-908,3.051757812500000e-03,-2.770996093750000e-02,2.787750277381263e-02,-1.306110334065892e-05,-6.846908515087402e-07
60,5.203340301180326e-02,-3.970930960620394e-02,1705,-1301,5.203247070312500e-02,-3.970336914062500e-02,6.545025231875196e-02,-9.323086782586643e-07,5.940465578939402e-06
