freq_hz,h1_abs_db,fixed_fir_abs_db,fixed_fir_phase_rad,fixed_total_abs_db,fixed_total_phase_rad,target_phase_rad,fixed_phase_error_rad,fixed_total_group_delay_ns
3550000000.000000,2.348409830000e-01,-2.332491315627e-01,-1.901348133980e+00,1.591851437285e-03,-4.516256100761e+00,-4.516039439535e+00,-2.166612257328e-04,1.047821766617e+01
3551000000.000000,2.442749760000e-01,-2.290411929294e-01,-1.959082760822e+00,1.523378307060e-02,-4.579133606345e+00,-4.582798283424e+00,3.664677078671e-03,1.107698081544e+01
3552000000.000000,2.218750940000e-01,-2.247751716215e-01,-2.016831940979e+00,-2.900077621477e-03,-4.655453546976e+00,-4.649557127313e+00,-5.896419663065e-03,1.049047794306e+01
3553000000.000000,2.155469630000e-01,-2.204557377898e-01,-2.074594533131e+00,-4.908774789829e-03,-4.710960840100e+00,-4.716315971202e+00,5.355131101977e-03,1.013809818725e+01
3554000000.000000,2.066247660000e-01,-2.160879088026e-01,-2.132369393054e+00,-9.463142802579e-03,-4.782852646122e+00,-4.783074815090e+00,2.221689688255e-04,1.116958489071e+01
3555000000.000000,1.951116050000e-01,-2.116769856318e-01,-2.190155383603e+00,-1.656538063184e-02,-4.851321983445e+00,-4.849833658979e+00,-1.488324465627e-03,1.065691156103e+01
3556000000.000000,1.890377710000e-01,-2.072284915960e-01,-2.247951384212e+00,-1.819072059600e-02,-4.916771346402e+00,-4.916592502868e+00,-1.788435339769e-04,1.026110622798e+01
3557000000.000000,1.978322430000e-01,-2.027481139186e-01,-2.305756299829e+00,-4.915870918612e-03,-4.980266847219e+00,-4.983351346757e+00,3.084499537776e-03,1.079143512552e+01
3558000000.000000,1.855073470000e-01,-1.982416484728e-01,-2.363569069218e+00,-1.273430147281e-02,-5.052380519650e+00,-5.050110190646e+00,-2.270329004499e-03,1.109986901690e+01
3559000000.000000,1.792802810000e-01,-1.937149480064e-01,-2.421388672568e+00,-1.443466700640e-02,-5.119751915056e+00,-5.116869034534e+00,-2.882880521872e-03,1.066366790049e+01
3560000000.000000,1.869956080000e-01,-1.891738740759e-01,-2.479214138360e+00,-2.178266075942e-03,-5.186384122596e+00,-5.183627878423e+00,-2.756244173000e-03,1.034824952209e+01
3561000000.000000,1.789776440000e-01,-1.846242528479e-01,-2.537044549451e+00,-5.646608847864e-03,-5.249791853761e+00,-5.250386722312e+00,5.948685512358e-04,1.043572030014e+01
3562000000.000000,1.634844460000e-01,-1.800718348611e-01,-2.594879048347e+00,-1.658738886113e-02,-5.317523251515e+00,-5.317145566201e+00,-3.776853147306e-04,1.058887745539e+01
3563000000.000000,1.720302950000e-01,-1.755222587944e-01,-2.652716841652e+00,-3.491963794413e-03,-5.382855612255e+00,-5.383904410089e+00,1.048797834310e-03,1.008218908968e+01
3564000000.000000,1.743362640000e-01,-1.709810192262e-01,-2.710557203664e+00,3.355244773804e-03,-5.444219776220e+00,-5.450663253978e+00,6.443477757854e-03,1.047291734358e+01
3565000000.000000,1.601141400000e-01,-1.664534383346e-01,-2.768399479142e+00,-6.339298334607e-03,-5.514462173008e+00,-5.517422097867e+00,2.959924858949e-03,1.093403564135e+01
3566000000.000000,1.691868890000e-01,-1.619446414280e-01,-2.826243085228e+00,7.242247572020e-03,-5.581620920400e+00,-5.584180941756e+00,2.560021355677e-03,1.080745086687e+01
3567000000.000000,1.480073160000e-01,-1.574595361864e-01,-2.884087512557e+00,-9.452220186431e-03,-5.650272605998e+00,-5.650939785645e+00,6.671796469337e-04,1.129513576920e+01
3568000000.000000,1.485825880000e-01,-1.530027954414e-01,-2.941932325561e+00,-4.420207441383e-03,-5.723559782615e+00,-5.717698629533e+00,-5.861153082019e-03,1.088669039836e+01
3569000000.000000,1.519861240000e-01,-1.485788433041e-01,-2.999777162016e+00,3.407280695919e-03,-5.787078792307e+00,-5.784457473422e+00,-2.621318885026e-03,1.041954743745e+01
3570000000.000000,1.570709280000e-01,-1.441918444325e-01,-3.057621731842e+00,1.287908356752e-02,-5.854495677348e+00,-5.851216317311e+00,-3.279360037361e-03,1.090986876683e+01
3571000000.000000,1.303271780000e-01,-1.398456962142e-01,-3.115465815223e+00,-9.518518214195e-03,-5.924176246585e+00,-5.917975161200e+00,-6.201085385491e-03,1.007108967667e+01
