freq_hz,h1_abs_db,h1_phase_rad,fir_abs_db,fir_phase_rad,total_abs_db,total_phase_rad,target_phase_rad,phase_error_rad,total_group_delay_ns
4351000000.000000,-1.599462590000e-01,2.498755972760e+00,1.568280385171e-01,2.341894113944e+00,-3.118220482932e-03,-5.799120298509e+01,-5.798987339445e+01,-1.329590640850e-03,1.095168638519e+01
4352000000.000000,-1.722686400000e-01,2.486413416480e+00,1.557933508081e-01,2.284325182156e+00,-1.647528919188e-02,-5.806111447316e+01,-5.805663223834e+01,-4.482234820507e-03,1.104953263761e+01
4353000000.000000,-1.597810930000e-01,2.475024947370e+00,1.548054386652e-01,2.226772617095e+00,-4.975654334762e-03,-5.813005550733e+01,-5.812339108223e+01,-6.664425103004e-03,1.042655314643e+01
4354000000.000000,-1.376128030000e-01,2.470477912264e+00,1.538644810011e-01,2.169236755304e+00,1.625167800114e-02,-5.819213840423e+01,-5.819014992612e+01,-1.988478111322e-03,1.045422335895e+01
4355000000.000000,-1.443229400000e-01,2.458708018791e+00,1.529704094859e-01,2.111717900460e+00,8.647469485852e-03,-5.826142715254e+01,-5.825690877001e+01,-4.518382539324e-03,1.005855950270e+01
4356000000.000000,-1.603236080000e-01,2.459098759775e+00,1.521229095630e-01,2.054216321235e+00,-8.200698437003e-03,-5.831853799079e+01,-5.832366761389e+01,5.129623108772e-03,1.007203667221e+01
4357000000.000000,-1.505005870000e-01,2.447124724248e+00,1.513214231982e-01,1.996732249338e+00,8.208361981629e-04,-5.838799609821e+01,-5.839042645778e+01,2.430359573857e-03,1.094602204556e+01
4358000000.000000,-1.765723680000e-01,2.436497433478e+00,1.505651533971e-01,1.939265877755e+00,-2.600721460291e-02,-5.845608976056e+01,-5.845718530167e+01,1.095541108896e-03,1.044052172712e+01
4359000000.000000,-1.414972040000e-01,2.430840148968e+00,1.498530704975e-01,1.881817359188e+00,8.355866497534e-03,-5.851919556364e+01,-5.852394414556e+01,4.748581921049e-03,1.021273691419e+01
4360000000.000000,-1.580517970000e-01,2.423039469465e+00,1.491839202144e-01,1.824386804717e+00,-8.867876785560e-03,-5.858442679761e+01,-5.859070298945e+01,6.276191835894e-03,1.092697394350e+01
4361000000.000000,-1.482798040000e-01,2.408370821218e+00,1.485562334424e-01,1.766974282671e+00,2.764294423549e-04,-5.865650796791e+01,-5.865746183334e+01,9.538654311854e-04,1.102423287775e+01
4362000000.000000,-1.534591640000e-01,2.399311860374e+00,1.479683377636e-01,1.709579817727e+00,-5.490826236375e-03,-5.872296139369e+01,-5.872422067723e+01,1.259283532583e-03,1.100471347661e+01
4363000000.000000,-1.745267000000e-01,2.384852405594e+00,1.474183706156e-01,1.652203390243e+00,-2.710832938445e-02,-5.879479727596e+01,-5.879097952112e+01,-3.817754843190e-03,1.057044618461e+01
