tap,coeff_real,coeff_imag,coeff_abs,coeff_phase_rad
110,4.865256230359558e-02,1.374631106797199e-01,1.458189926465348e-01,1.230623118599720e+00
111,-1.526057174974516e-01,-5.707226707713439e-03,1.527124010996004e-01,-3.104211563089010e+00
112,6.571356353178873e-02,-1.379655831935765e-01,1.528161463261986e-01,-1.126284555269207e+00
113,9.316974228675860e-02,1.107028355972007e-01,1.446918058738706e-01,8.711873319444027e-01
114,-1.236862181041848e-01,3.318812436188986e-02,1.280614389563706e-01,2.879442515506541e+00
115,1.818914173741473e-02,-1.021193639508857e-01,1.037266087890528e-01,-1.394528394142137e+00
116,6.073474921970543e-02,4.131010745311989e-02,7.345226164366091e-02,5.972946193678336e-01
117,-3.211365842890563e-02,2.385975946657438e-02,4.000718909760104e-02,2.502600436807427e+00
118,-1.147472685228672e-02,-4.608448529683465e-03,1.236556323769086e-02,-2.759692851887634e+00
119,-1.758514735394951e-02,-2.756831238518368e-02,3.269937698530646e-02,-2.138600803479524e+00
120,5.816929538806258e-02,-1.560456697620631e-02,6.022598638842362e-02,-2.620905040605740e-01
121,-1.331063286140509e-02,8.039837146824476e-02,8.149276705276971e-02,1.734866583464445e+00
122,-7.686087439675052e-02,-5.460558645800248e-02,9.428342423488575e-02,-2.523889560546027e+00
123,8.598973437699856e-02,-4.628924833840786e-02,9.765720111677154e-02,-4.938249161463076e-01
124,3.783334221252001e-03,9.158863706410200e-02,9.166674455378840e-02,1.529511898345942e+00
125,-7.159409614995027e-02,-2.927998607856519e-02,7.735006262627908e-02,-2.753375737135758e+00
126,3.897226532743298e-02,-4.137007965428937e-02,5.683591254967305e-02,-8.152342701120210e-01
127,2.087249296077852e-02,2.727067659005834e-02,3.434167678022296e-02,9.175230173599563e-01
128,-9.930374847391831e-03,2.148033600534364e-02,2.366468211305985e-02,2.003832320295354e+00
129,-3.886007835464889e-02,-5.442481019180477e-03,3.923934618942562e-02,-3.002444467188607e+00
130,2.251489762443262e-02,-5.636417901139698e-02,6.069465619531497e-02,-1.190760714756089e+00
131,5.647999648397854e-02,5.431533396552453e-02,7.835908056260417e-02,7.658631600196657e-01
132,-8.310351486312083e-02,3.262531118468494e-02,8.927824546048423e-02,2.767493588086333e+00
133,6.474609627918793e-03,-9.198086351765837e-02,9.220845852354347e-02,-1.500521408242791e+00
134,7.587266929530975e-02,4.254937365202843e-02,8.698914382941915e-02,5.110969342065987e-01
135,-5.966695954146381e-02,4.453542228438161e-02,7.445501930005037e-02,2.500399489264736e+00
