subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_plan_b_equalized_i,after_plan_b_equalized_q,after_plan_b_fixed_equalized_i,after_plan_b_fixed_equalized_q,plan_b_abs,plan_b_phase_rad,plan_b_fixed_abs,plan_b_fixed_phase_rad
65,19453,3561950683.593750,1.952126652190e+02,-3.904253304380e+01,2.021221228188e+02,-3.321558751148e+01,1.948548412998e+02,-3.897934027522e+01,1.948432055797e+02,-3.899166965183e+01,9.794691686229e-01,-2.591634745369,9.794215558548e-01,-2.591680794927
66,19454,3562133789.062500,1.952126652190e+02,2.732977313066e+02,1.909811397496e+02,2.880132747487e+02,1.948564611900e+02,2.728553110493e+02,1.948669948736e+02,2.728287981790e+02,9.795602349462e-01,-2.602229058696,9.795117894827e-01,-2.602274288060
67,19455,3562316894.531250,1.171275991314e+02,-3.904253304380e+01,1.218740208547e+02,-3.593207148471e+01,1.169756181672e+02,-3.894578218169e+01,1.169673736488e+02,-3.895222694968e+01,9.796513722719e-01,-2.612823577207,9.796020966841e-01,-2.612867990758
68,19456,3562500000.000000,-1.952126652190e+02,1.952126652190e+02,-2.079159266465e+02,1.937059977412e+02,-1.951088222998e+02,1.948703190215e+02,-1.950858745852e+02,1.948746523019e+02,9.797425774841e-01,-2.623418294712,9.796924743627e-01,-2.623461896935
69,19457,3562683105.468750,-3.904253304380e+01,-1.171275991314e+02,-3.586633814003e+01,-1.219411110411e+02,-3.890695156895e+01,-1.170595691799e+02,-3.891315312359e+01,-1.170511888887e+02,9.798338474491e-01,-2.634013205074,9.797829194034e-01,-2.634056000555
70,19458,3562866210.937500,-2.732977313066e+02,-2.732977313066e+02,-2.710981455842e+02,-2.913621789312e+02,-2.728272969090e+02,-2.734417674663e+02,-2.728324960262e+02,-2.734095995434e+02,9.799251790182e-01,-2.644608302209,9.798734286752e-01,-2.644650295636
71,19459,3563049316.406250,-3.904253304380e+01,-1.171275991314e+02,-3.577537382861e+01,-1.220108558965e+02,-3.884383207715e+01,-1.171469890404e+02,-3.884979437637e+01,-1.171384746395e+02,9.800165690268e-01,-2.655203580085,9.799639990301e-01,-2.655244776247
72,19460,3563232421.875000,-2.732977313066e+02,-2.732977313066e+02,-2.706932140238e+02,-2.918433610804e+02,-2.725380108042e+02,-2.739371479570e+02,-2.725423788563e+02,-2.739049452578e+02,9.801080142956e-01,-2.665799032727,9.800546273046e-01,-2.665839436512
73,19461,3563415527.343750,2.732977313066e+02,1.952126652190e+02,2.735058121530e+02,2.117784964719e+02,2.725838937780e+02,1.961651446261e+02,2.725826886431e+02,1.961369618469e+02,9.801995116312e-01,-2.676394654214,9.801453103202e-01,-2.676434270608
74,19462,3563598632.812500,1.171275991314e+02,1.952126652190e+02,1.125693168758e+02,2.056948552883e+02,1.162506145870e+02,1.957539572711e+02,1.162572552295e+02,1.957360448189e+02,9.802910578279e-01,-2.686990438684,9.802360448848e-01,-2.687029272773
75,19463,3563781738.281250,-1.952126652190e+02,1.171275991314e+02,-2.058229132331e+02,1.123587937224e+02,-1.958959325695e+02,1.160746640439e+02,-1.958779518845e+02,1.160810789204e+02,9.803826496665e-01,-2.697586380334,9.803268277922e-01,-2.697624437298
76,19464,3563964843.750000,1.171275991314e+02,3.904253304380e+01,1.188671420792e+02,4.522156096354e+01,1.169127376402e+02,3.981604186443e+01,1.169089163006e+02,3.980642484100e+01,9.804742839165e-01,-2.708182473418,9.804176558238e-01,-2.708219758535
77,19465,3564147949.218750,3.904253304380e+01,1.171275991314e+02,3.516705852849e+01,1.221889424881e+02,3.832830891428e+01,1.173907935767e+02,3.833358673070e+01,1.173818989553e+02,9.805659573365e-01,-2.718778712254,9.805085257493e-01,-2.718815230896
78,19466,3564331054.687500,-3.904253304380e+01,-1.171275991314e+02,-3.522682354924e+01,-1.221320740885e+02,-3.839586359806e+01,-1.173419311158e+02,-3.840101601692e+01,-1.173329683838e+02,9.806576666746e-01,-2.729375091219,9.805994343266e-01,-2.729410848852
