subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
1348,20736,3796875000.000000,2.732977313066e+02,3.904253304380e+01,2.785819921914e+02,-2.848008580151e+00,2.711914131487e+02,4.457944125930e+01,1.000000000000e+00,1.939009425385
1349,20737,3797058105.468750,-2.732977313066e+02,2.732977313066e+02,-2.304953867346e+02,3.147043774486e+02,-2.768230265734e+02,2.808690260019e+02,1.000000000000e+00,1.932727509559
1350,20738,3797241210.937500,1.171275991314e+02,-1.952126652190e+02,8.659538777531e+01,-2.128565161289e+02,1.137559170215e+02,-1.905242060263e+02,1.000000000000e+00,1.926445004552
1351,20739,3797424316.406250,-1.171275991314e+02,-1.952126652190e+02,-1.472243961687e+02,-1.764813830297e+02,-1.215564385294e+02,-1.897993271581e+02,1.000000000000e+00,1.920161912142
1352,20740,3797607421.875000,-2.732977313066e+02,-1.171275991314e+02,-2.909389464620e+02,-7.405674821632e+01,-2.782005307310e+02,-1.107457142693e+02,1.000000000000e+00,1.913878234112
1353,20741,3797790527.343750,2.732977313066e+02,-1.952126652190e+02,2.418958481098e+02,-2.377189171638e+02,2.702578771986e+02,-1.915888615329e+02,1.000000000000e+00,1.907593972256
1354,20742,3797973632.812500,-2.732977313066e+02,3.904253304380e+01,-2.664361920641e+02,8.216619150000e+01,-2.776499442689e+02,4.630358780285e+01,1.000000000000e+00,1.901309128375
1355,20743,3798156738.281250,3.904253304380e+01,-1.952126652190e+02,8.091168444169e+00,-2.008670757966e+02,3.491773617721e+01,-1.905728573339e+02,1.000000000000e+00,1.895023704278
1356,20744,3798339843.750000,-2.732977313066e+02,-1.952126652190e+02,-3.033288990966e+02,-1.515583763482e+02,-2.786302183273e+02,-1.892420901765e+02,1.000000000000e+00,1.888737701780
1357,20745,3798522949.218750,3.904253304380e+01,-1.952126652190e+02,8.190294926365e+00,-2.007871531125e+02,3.506149526355e+01,-1.905173933180e+02,1.000000000000e+00,1.882451122705
1358,20746,3798706054.687500,3.904253304380e+01,-3.904253304380e+01,3.278568059113e+01,-4.505860651184e+01,3.561438961641e+01,-3.373837679916e+01,1.000000000000e+00,1.876163968883
1359,20747,3798889160.156250,-2.732977313066e+02,-1.171275991314e+02,-2.907907263135e+02,-7.387125530932e+01,-2.780404355346e+02,-1.113097007313e+02,1.000000000000e+00,1.869876242150
1360,20748,3799072265.625000,-3.904253304380e+01,-1.171275991314e+02,-5.730783948428e+01,-1.106191190817e+02,-4.296599378404e+01,-1.119428056156e+02,1.000000000000e+00,1.863587944350
1361,20749,3799255371.093750,-1.171275991314e+02,-3.904253304380e+01,-1.229375296820e+02,-2.044526955246e+01,-1.212276963285e+02,-3.338919171892e+01,1.000000000000e+00,1.857299077331
1362,20750,3799438476.562500,2.732977313066e+02,-3.904253304380e+01,2.663553029880e+02,-8.226447815380e+01,2.707765364025e+02,-3.464069165521e+01,1.000000000000e+00,1.851009642946
