freq_hz,h1_effective_abs_db,h1_effective_phase_rad,h1_effective_group_delay_ns,plan_c_effective_abs_db,plan_c_effective_phase_rad,plan_c_effective_group_delay_ns
3575317382.812500,1.295429878003e-01,-2.843171558201e+00,2.098609650576e+00,1.491426519091e-01,-1.493143809308e+00,3.263272023114e+00
3575500488.281250,1.273475351506e-01,-2.845585978365e+00,2.098609650576e+00,1.475343410774e-01,-1.496891557320e+00,3.261631422237e+00
3575683593.750000,1.251515274361e-01,-2.848000398529e+00,2.098609650576e+00,1.471479036874e-01,-1.500648729216e+00,3.118310075599e+00
3575866699.218750,1.229549643762e-01,-2.850414818693e+00,1.868939317034e+00,1.434061987919e-01,-1.504066698940e+00,2.903041790362e+00
3576049804.687500,1.209763061394e-01,-2.852300774038e+00,1.024563090785e+00,1.425268520649e-01,-1.507328544715e+00,2.240862456387e+00
3576232910.156250,1.195820062263e-01,-2.852772308839e+00,4.098571980772e-01,1.372189035184e-01,-1.509222858874e+00,1.550330805862e+00
3576416015.625000,1.181874824576e-01,-2.853243843639e+00,4.098571980772e-01,1.384262200682e-01,-1.510895811222e+00,1.501134372473e+00
3576599121.093750,1.167927347615e-01,-2.853715378440e+00,4.098571980772e-01,1.356252772439e-01,-1.512676925806e+00,1.393003378443e+00
3576782226.562500,1.153977630661e-01,-2.854186913241e+00,4.098571980772e-01,1.343659949447e-01,-1.514101071852e+00,1.510437434703e+00
3576965332.031250,1.140025672993e-01,-2.854658448041e+00,8.741282217721e-01,1.339971414376e-01,-1.516152398815e+00,2.000708407433e+00
3577148437.500000,1.118923045878e-01,-2.856198257088e+00,1.446830964822e+00,1.278799057876e-01,-1.518704644240e+00,2.310700360646e+00
3577331542.968750,1.096145265855e-01,-2.857987564396e+00,1.555262684174e+00,1.326517508647e-01,-1.521469253754e+00,2.628375832692e+00
3577514648.437500,1.073361511046e-01,-2.859776871705e+00,1.555262684174e+00,1.259397676839e-01,-1.524752461286e+00,2.795294393707e+00
3577697753.906250,1.050571778316e-01,-2.861566179013e+00,1.555262684171e+00,1.250047461302e-01,-1.527901145599e+00,2.674623207532e+00
3577880859.375000,1.027776064526e-01,-2.863355486321e+00,1.406038805188e+00,1.225440568607e-01,-1.530906692209e+00,2.548798837599e+00
3578063964.843750,1.021434213635e-01,-2.864801433784e+00,9.788712126721e-01,1.215047589839e-01,-1.533765858273e+00,2.000812874887e+00
3578247070.312500,1.045743860206e-01,-2.865607840772e+00,7.009274991407e-01,1.232602029885e-01,-1.535510504975e+00,1.736103690563e+00
3578430175.781250,1.070046705014e-01,-2.866414247760e+00,7.009274991438e-01,1.227541059184e-01,-1.537760582833e+00,1.922829027378e+00
3578613281.250000,1.094342751865e-01,-2.867220654748e+00,7.009274991409e-01,1.232103627345e-01,-1.539934879154e+00,1.727606145473e+00
3578796386.718750,1.118632004561e-01,-2.868027061736e+00,7.009274991407e-01,1.240993643232e-01,-1.541735754788e+00,1.684894061724e+00
3578979492.187500,1.142914466901e-01,-2.868833468724e+00,1.503757688721e+00,1.299765076585e-01,-1.543811771835e+00,2.751266581102e+00
3579162597.656250,1.110097688197e-01,-2.871487164843e+00,2.407845740047e+00,1.239944953892e-01,-1.548066339904e+00,3.469989178755e+00
