freq_hz,after_h1_error_percent,after_float_plan_c_error_percent
3600585937.500000,5.477192305900e+00,1.362248473997e+00
3600769042.968750,5.740724313592e+00,1.647785460985e+00
3600952148.437500,6.004886368752e+00,1.895652820396e+00
3601135253.906250,5.885688505867e+00,1.837564971575e+00
3601318359.375000,5.631045866752e+00,1.522416712658e+00
3601501464.843750,5.376802678745e+00,1.301628030345e+00
3601684570.312500,5.123012481121e+00,1.073854608890e+00
3601867675.781250,4.869739767259e+00,8.886541647748e-01
3602050781.250000,4.725734801812e+00,7.674358744803e-01
3602233886.718750,4.865433693369e+00,8.980351614350e-01
3602416992.187500,5.005565858232e+00,9.986245661853e-01
3602600097.656250,5.146094773251e+00,1.159442745354e+00
3602783203.125000,5.286987694645e+00,1.300384151713e+00
3602966308.593750,5.428215191840e+00,1.438779056781e+00
3603149414.062500,5.449018402893e+00,1.453802919565e+00
3603332519.531250,5.442782811034e+00,1.387306410213e+00
3603515625.000000,5.436721516531e+00,1.407983666055e+00
3603698730.468750,5.430835135734e+00,1.380344596097e+00
3603881835.937500,5.425124270787e+00,1.341623057379e+00
3604064941.406250,5.401267410007e+00,1.312399875086e+00
3604248046.875000,5.344192366446e+00,1.258731518523e+00
3604431152.343750,5.287212593456e+00,1.126628036814e+00
3604614257.812500,5.230331366983e+00,1.150902851320e+00
3604797363.281250,5.173552101268e+00,1.077614628532e+00
3604980468.750000,5.116878355869e+00,1.021853726875e+00
3605163574.218750,5.144211572337e+00,1.100182794070e+00
3605346679.687500,5.182393468571e+00,1.189266729256e+00
3605529785.156250,5.221427561695e+00,1.271887385687e+00
3605712890.625000,5.261293878451e+00,1.300776368286e+00
3605895996.093750,5.301972647920e+00,1.371599681397e+00
3606079101.562500,5.350686109779e+00,1.462863830595e+00
3606262207.031250,5.409148083403e+00,1.462356832813e+00
3606445312.500000,5.467616472255e+00,1.549477663835e+00
3606628417.968750,5.526091268544e+00,1.584791732708e+00
3606811523.437500,5.584572464585e+00,1.609556908516e+00
3606994628.906250,5.643060052802e+00,1.655833530490e+00
3607177734.375000,5.531742783846e+00,1.591518725195e+00
3607360839.843750,5.415449660840e+00,1.531882072055e+00
3607543945.312500,5.299321867182e+00,1.380469286330e+00
3607727050.781250,5.183367413716e+00,1.419827117182e+00
3607910156.250000,5.067595024454e+00,1.353870474417e+00
3608093261.718750,5.024223852178e+00,1.354491968210e+00
3608276367.187500,5.050468981022e+00,1.386054117702e+00
3608459472.656250,5.076720501273e+00,1.394539103014e+00
3608642578.125000,5.102978346947e+00,1.386599120262e+00
3608825683.593750,5.129242453377e+00,1.400274067003e+00
3609008789.062500,5.159287037732e+00,1.401290456847e+00
3609191894.531250,5.264244797439e+00,1.487814670136e+00
3609375000.000000,5.369300731938e+00,1.573820770778e+00
3609558105.468750,5.474448947554e+00,1.642327151722e+00
3609741210.937500,5.579683987731e+00,1.742041719312e+00
3609924316.406250,5.685000793466e+00,1.859798338672e+00
