subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_plan_c_equalized_i,after_float_plan_c_equalized_q
3000,22388,4099365234.375000,-2.732977313066e+02,1.952126652190e+02,-2.918589960289e+02,1.775336780454e+02,-2.701049746831e+02,1.981736563048e+02
3001,22389,4099548339.843750,3.904253304380e+01,-1.952126652190e+02,5.397938108044e+01,-1.951150340989e+02,3.619610544080e+01,-1.950153818378e+02
3002,22390,4099731445.312500,3.904253304380e+01,-1.952126652190e+02,5.372260799216e+01,-1.951371962053e+02,3.584404038973e+01,-1.954089241302e+02
3003,22391,4099914550.781250,-1.952126652190e+02,-2.732977313066e+02,-1.785043369045e+02,-2.909876264305e+02,-1.990290548067e+02,-2.692164219967e+02
3004,22392,4100097656.250000,-3.904253304380e+01,-1.952126652190e+02,-2.571855518266e+01,-2.007157567372e+02,-4.175049278840e+01,-1.940994533707e+02
3005,22393,4100280761.718750,1.952126652190e+02,1.952126652190e+02,1.839073597045e+02,2.120522294602e+02,1.973945259153e+02,1.921981501553e+02
3006,22394,4100463867.187500,-2.732977313066e+02,2.732977313066e+02,-2.972098387316e+02,2.572394015467e+02,-2.693819971750e+02,2.766075588110e+02
3007,22395,4100646972.656250,-1.952126652190e+02,-1.952126652190e+02,-1.835772019160e+02,-2.125331370582e+02,-1.973522349303e+02,-1.931398204384e+02
3008,22396,4100830078.125000,-2.732977313066e+02,-1.952126652190e+02,-2.626486946769e+02,-2.186457620121e+02,-2.747888908636e+02,-1.926198058181e+02
3009,22397,4101013183.593750,-2.732977313066e+02,1.171275991314e+02,-2.862946760123e+02,9.805036252525e+01,-2.723355643441e+02,1.195870927249e+02
3010,22398,4101196289.062500,-2.732977313066e+02,-2.732977313066e+02,-2.563665486824e+02,-2.981738931970e+02,-2.757823750893e+02,-2.709298660109e+02
3011,22399,4101379394.531250,-1.952126652190e+02,-2.732977313066e+02,-1.769939010685e+02,-2.921587256575e+02,-1.974661824224e+02,-2.716151294429e+02
3012,22400,4101562500.000000,1.171275991314e+02,-1.171275991314e+02,1.277719824013e+02,-1.097160111451e+02,1.164207686645e+02,-1.181188762630e+02
3013,22401,4101745605.468750,2.732977313066e+02,1.171275991314e+02,2.679062627022e+02,1.398469539452e+02,2.740076478246e+02,1.152253269206e+02
3014,22402,4101928710.937500,3.904253304380e+01,-1.171275991314e+02,4.864976855436e+01,-1.156254758444e+02,3.832927564959e+01,-1.170267541855e+02
