freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
3542000000.000000,1.000000000000e+00,1.000000000000e+00,2.121520426417e-14,-1.659586654127,-1.660002620327,-4.159662000465e-04,4.523317455,5.804312512,5.803948996,10.327629967,10.327266451
3543000000.000000,1.000000000000e+00,1.000000000000e+00,4.435906346145e-14,-1.696065615843,-1.696479295225,-4.136793821765e-04,4.070749697,5.807041730,5.806677567,9.877791427,9.877427264
3544000000.000000,1.000000000000e+00,1.000000000000e+00,-3.085847892971e-14,-1.732560092677,-1.732971482672,-4.113899946350e-04,4.182484389,5.809261189,5.808896853,9.991745578,9.991381242
3545000000.000000,1.000000000000e+00,1.000000000000e+00,-7.714619732426e-15,-1.769066944938,-1.769476045937,-4.091009990259e-04,3.743370895,5.810991254,5.810627213,9.554362149,9.553998108
3546000000.000000,1.000000000000e+00,1.000000000000e+00,9.643274665533e-15,-1.805583162409,-1.805989977731,-4.068153224022e-04,4.108866108,5.812252743,5.811889460,9.921118851,9.920755568
3547000000.000000,1.000000000000e+00,1.000000000000e+00,-1.060760213209e-14,-1.842105867009,-1.842510402860,-4.045358512645e-04,4.057245065,5.813066866,5.812704796,9.870311931,9.869949861
3548000000.000000,1.000000000000e+00,1.000000000000e+00,-1.060760213209e-14,-1.878632315047,-1.879034580473,-4.022654258327e-04,3.611414711,5.813455159,5.813094751,9.424869870,9.424509462
3549000000.000000,1.000000000000e+00,1.000000000000e+00,-3.857309866213e-15,-1.915159899082,-1.915559905917,-4.000068346413e-04,4.266802877,5.813439424,5.813081117,10.080242301,10.079883994
3550000000.000000,1.000000000000e+00,1.000000000000e+00,4.628771839456e-14,-1.951686149391,-1.952083912200,-3.977628094249e-04,3.915714299,5.813041665,5.812685889,9.728755964,9.728400188
3551000000.000000,1.000000000000e+00,1.000000000000e+00,-1.446491199830e-14,-1.988208735042,-1.988604271063,-3.955360203560e-04,4.512071450,5.812284027,5.811931202,10.324355477,10.324002652
3552000000.000000,1.000000000000e+00,1.000000000000e+00,1.928654933107e-14,-2.024725464595,-2.025118793667,-3.933290715858e-04,3.923343169,5.811188737,5.810839271,9.734531906,9.734182440
3553000000.000000,1.000000000000e+00,1.000000000000e+00,-1.735789439796e-14,-2.061234286419,-2.061625430916,-3.911444971592e-04,3.568919882,5.809778042,5.809432332,9.378697924,9.378352214
3554000000.000000,1.000000000000e+00,1.000000000000e+00,-1.928654933107e-14,-2.097733288653,-2.098122273410,-3.889847572531e-04,4.598544600,5.808074155,5.807732588,10.406618755,10.406277188
3555000000.000000,1.000000000000e+00,1.000000000000e+00,-3.664444372902e-14,-2.134220698806,-2.134607551040,-3.868522347492e-04,4.084188948,5.806099200,5.805762147,9.890288148,9.889951095
3556000000.000000,1.000000000000e+00,1.000000000000e+00,1.542923946485e-14,-2.170694883019,-2.171079632251,-3.847492321762e-04,3.686877606,5.803875155,5.803542977,9.490752761,9.490420583
3557000000.000000,1.000000000000e+00,1.000000000000e+00,-1.928654933107e-14,-2.207154344996,-2.207537022965,-3.826779689566e-04,4.215872087,5.801423803,5.801096847,10.017295890,10.016968934
3558000000.000000,1.000000000000e+00,1.000000000000e+00,-5.785964799320e-15,-2.243597724621,-2.243978365200,-3.806405790239e-04,4.523137165,5.798766685,5.798445283,10.321903850,10.321582448
3559000000.000000,1.000000000000e+00,1.000000000000e+00,-5.785964799320e-15,-2.280023796265,-2.280402435374,-3.786391087330e-04,4.085925701,5.795925047,5.795609517,9.881850748,9.881535218
3560000000.000000,1.000000000000e+00,1.000000000000e+00,-1.253625706519e-14,-2.316431466817,-2.316808142332,-3.766755150978e-04,3.769647270,5.792919802,5.792610449,9.562567072,9.562257719
3561000000.000000,1.000000000000e+00,1.000000000000e+00,9.643274665533e-15,-2.352819773432,-2.353194525096,-3.747516643471e-04,3.856399217,5.789771482,5.789468595,9.646170699,9.645867812
3562000000.000000,1.000000000000e+00,1.000000000000e+00,-1.928654933107e-15,-2.389187881031,-2.389560750362,-3.728693307674e-04,4.008968914,5.786500204,5.786204059,9.795469118,9.795172973
3563000000.000000,1.000000000000e+00,1.000000000000e+00,5.785964799320e-15,-2.425535079555,-2.425906109751,-3.710301958191e-04,3.501813976,5.783125629,5.782836486,9.284939605,9.284650462
3564000000.000000,1.000000000000e+00,1.000000000000e+00,-1.253625706519e-14,-2.461860780996,-2.462230016843,-3.692358475407e-04,3.892185550,5.779666929,5.779385033,9.671852479,9.671570583
3565000000.000000,1.000000000000e+00,1.000000000000e+00,-2.700116906349e-14,-2.498164516215,-2.498532003995,-3.674877801942e-04,4.353045693,5.776142755,5.775868336,10.129188448,10.128914029
3566000000.000000,1.000000000000e+00,1.000000000000e+00,-1.928654933107e-15,-2.534445931577,-2.534811718971,-3.657873941574e-04,4.226289680,5.772571207,5.772304480,9.998860887,9.998594160
3567000000.000000,1.000000000000e+00,1.000000000000e+00,5.785964799320e-15,-2.570704785396,-2.571068921392,-3.641359960507e-04,4.713878538,5.768969807,5.768710973,10.482848345,10.482589511
3568000000.000000,1.000000000000e+00,1.000000000000e+00,-1.928654933107e-14,-2.606940944232,-2.607303479031,-3.625347990419e-04,4.305400610,5.765355476,5.765104721,10.070756086,10.070505331
3569000000.000000,1.000000000000e+00,1.000000000000e+00,-2.603684159694e-14,-2.643154379026,-2.643515363949,-3.609849233945e-04,3.838277001,5.761744509,5.761502005,9.600021510,9.599779006
3570000000.000000,1.000000000000e+00,1.000000000000e+00,-2.025087679762e-14,-2.679345161122,-2.679704648519,-3.594873971671e-04,4.328658258,5.758152561,5.757918462,10.086810819,10.086576720
3571000000.000000,1.000000000000e+00,1.000000000000e+00,-3.760877119558e-14,-2.715513458159,-2.715871501316,-3.580431570644e-04,3.489968691,5.754594621,5.754369071,9.244563312,9.244337762
3572000000.000000,1.000000000000e+00,1.000000000000e+00,2.121520426417e-14,-2.751659529866,-2.752016182915,-3.566530494594e-04,3.680733851,5.751085005,5.750868131,9.431818856,9.431601982
3573000000.000000,1.000000000000e+00,1.000000000000e+00,-1.253625706519e-14,-2.787783723771,-2.788139041602,-3.553178315627e-04,4.624451594,5.747637339,5.747429254,10.372088933,10.371880848
3574000000.000000,1.000000000000e+00,1.000000000000e+00,2.314385919728e-14,-2.823886470829,-2.824240509002,-3.540381726683e-04,3.978564173,5.744264549,5.744065352,9.722828722,9.722629525
