tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
56,-1.237962072626101e-01,5.644237056704420e-02,-4057,1850,-1.238098144531250e-01,5.645751953125000e-02,1.360746914989658e-01,-1.360719051492210e-05,1.514896420579809e-05
57,1.013946289467771e-01,-3.699892421302570e-01,3322,-12124,1.013793945312500e-01,-3.699951171875000e-01,3.836328562286013e-01,-1.523441552708782e-05,-5.875057243032167e-06
58,3.939577809112677e-01,4.301414525814440e-01,12909,14095,3.939514160156250e-01,4.301452636718750e-01,5.832860927881470e-01,-6.364895642707591e-06,3.811090431016240e-06
59,-6.981319864019827e-01,1.400858355552034e-01,-22876,4590,-6.981201171875000e-01,1.400756835937500e-01,7.120343356581514e-01,1.186921448270706e-05,-1.015196145337516e-05
60,2.530697728916560e-01,-7.138792134592473e-01,8293,-23392,2.530822753906250e-01,-7.138671875000000e-01,7.574014784155469e-01,1.250249896900257e-05,1.202595924731931e-05
61,4.570138292408983e-01,5.521721985622640e-01,14975,18094,4.570007324218750e-01,5.521850585937500e-01,7.167691457982224e-01,-1.309681902333937e-05,1.286003148603942e-05
62,-5.906655666994213e-01,8.815115474632110e-02,-19355,2889,-5.906677246093750e-01,8.816528320312500e-02,5.972114182243200e-01,-2.157909953726111e-06,1.412845680390240e-05
63,1.652804780937102e-01,-3.800693322314936e-01,5416,-12454,1.652832031250000e-01,-3.800659179687500e-01,4.144498030361320e-01,2.725031289757540e-06,3.414262743584029e-06
64,9.642205539981857e-02,1.655733568595865e-01,3160,5426,9.643554687500000e-02,1.655883789062500e-01,1.916228742344717e-01,1.349147518142635e-05,1.502204666345430e-05
65,4.454889645395747e-02,-4.514775883770084e-02,1460,-1479,4.455566406250000e-02,-4.513549804687500e-02,6.342255422158438e-02,6.767608542526671e-06,1.226079082584236e-05
66,-6.106529702445659e-02,2.769557056324249e-01,-2001,9075,-6.106567382812500e-02,2.769470214843750e-01,2.835994873569940e-01,-3.768036684059783e-07,-8.684148049886709e-06
67,-3.314024015492448e-01,-3.416137572479483e-01,-10859,-11194,-3.313903808593750e-01,-3.416137695312500e-01,4.759407022513116e-01,1.202068986982940e-05,-1.228330170910397e-08
68,5.982073771769737e-01,-1.337026639208869e-01,19602,-4381,5.982055664062500e-01,-1.336975097656250e-01,6.129640477197270e-01,-1.810770723698063e-06,5.154155261921645e-06
69,-2.154176011613754e-01,6.458155655620736e-01,-7059,21162,-2.154235839843750e-01,6.458129882812500e-01,6.807949297471531e-01,-5.982822999600623e-06,-2.577280823645722e-06
70,-4.385501412457270e-01,-5.115200160551820e-01,-14370,-16761,-4.385375976562500e-01,-5.115051269531250e-01,6.737601349571282e-01,1.254358947699874e-05,1.488910205704741e-05
71,5.863951587212127e-01,-9.828972507095324e-02,19215,-3221,5.863952636718750e-01,-9.829711914062500e-02,5.945769326909295e-01,1.049506622718965e-07,-7.394069671762260e-06
72,-1.708901460539899e-01,4.201788435124381e-01,-5600,13768,-1.708984375000000e-01,4.201660156250000e-01,4.535920597035724e-01,-8.291446010139092e-06,-1.282788743806051e-05
73,-1.505377545500878e-01,-2.217065482478989e-01,-4933,-7265,-1.505432128906250e-01,-2.217102050781250e-01,2.679900632173072e-01,-5.458340537223272e-06,-3.656830226073104e-06
74,6.075853525509532e-02,2.473765528203584e-02,1991,811,6.076049804687500e-02,2.474975585937500e-02,6.560783899811796e-02,1.962791779677731e-06,1.210057733916359e-05
75,1.678778168129472e-02,-1.607609292565656e-01,550,-5268,1.678466796875000e-02,-1.607666015625000e-01,1.616404196257137e-01,-3.113712544716707e-06,-5.672305934373290e-06
76,2.538955892712652e-01,2.410072141029581e-01,8320,7897,2.539062500000000e-01,2.409973144531250e-01,3.500686923486316e-01,1.066072873484591e-05,-9.899649833111646e-06
77,-4.839231484334047e-01,1.217886580592338e-01,-15857,3991,-4.839172363281250e-01,1.217956542968750e-01,4.990090911206471e-01,5.912105279670676e-06,6.996237641193614e-06
78,1.755587941123719e-01,-5.655932430674053e-01,5753,-18533,1.755676269531250e-01,-5.655822753906250e-01,5.922054557921502e-01,8.832840753120186e-06,1.096767678032684e-05
79,4.126402620117914e-01,4.638502643525008e-01,13521,15199,4.126281738281250e-01,4.638366699218750e-01,6.208111356934151e-01,-1.208818366643660e-05,-1.359443062576293e-05
80,-5.733858842034780e-01,1.064892962414302e-01,-18789,3489,-5.733947753906250e-01,1.064758300781250e-01,5.831969400091971e-01,-8.891187146975454e-06,-1.346616330519246e-05
81,1.734897467065226e-01,-4.525953963790972e-01,5685,-14831,1.734924316406250e-01,-4.526062011718750e-01,4.847184720802507e-01,2.684934102381575e-06,-1.080479277776325e-05
82,2.000023084460562e-01,2.715678964388889e-01,6554,8899,2.000122070312500e-01,2.715759277343750e-01,3.372808436396856e-01,9.898585193846010e-06,8.031295486099488e-06
83,-1.588469022536004e-01,-5.246089974473761e-03,-5205,-172,-1.588439941406250e-01,-5.249023437500000e-03,1.589306978578850e-01,2.908112975430477e-06,-2.933463026238980e-06
84,2.547175912939540e-02,5.076352947694826e-02,835,1663,2.548217773437500e-02,5.075073242187500e-02,5.678889172578588e-02,1.041860497959929e-05,-1.279705507326034e-05
85,-1.808633819215542e-01,-1.437834397182097e-01,-5927,-4711,-1.808776855468750e-01,-1.437683105468750e-01,2.310542452462124e-01,-1.430362532084395e-05,1.512917133472680e-05
86,3.733433158907262e-01,-1.132895550642122e-01,12234,-3712,3.733520507812500e-01,-1.132812500000000e-01,3.901594487182485e-01,8.734890523776073e-06,8.305064212232871e-06
87,-1.324655904827082e-01,4.898318548123930e-01,-4341,16051,-1.324768066406250e-01,4.898376464843750e-01,5.074357340698910e-01,-1.121615791677133e-05,5.791671982002811e-06
88,-3.933350256295539e-01,-4.136348075987605e-01,-12889,-13554,-3.933410644531250e-01,-4.136352539062500e-01,5.707988404501233e-01,-6.038823571086205e-06,-4.463074894656138e-07
89,5.609853077521088e-01,-1.239278153693477e-01,18382,-4061,5.609741210937500e-01,-1.239318847656250e-01,5.745007194063950e-01,-1.118665835875277e-05,-4.069396277284199e-06
90,-1.665158665664077e-01,4.918088321669202e-01,-5456,16116,-1.665039062500000e-01,4.918212890625000e-01,5.192414960031680e-01,1.196031640765538e-05,1.245689557982654e-05
91,-2.631646710244750e-01,-3.166733532947958e-01,-8623,-10377,-2.631530761718750e-01,-3.166809082031250e-01,4.117479072431052e-01,1.159485259999427e-05,-7.554908329154841e-06
92,2.624893506149412e-01,-3.098644842311830e-02,8601,-1015,2.624816894531250e-01,-3.097534179687500e-02,2.643030629743061e-01,-7.661161816163720e-06,1.110662624330405e-05
93,-5.594857447936934e-02,7.690751669514392e-02,-1833,2520,-5.593872070312500e-02,7.690429687500000e-02,9.509685248072283e-02,9.853776244336809e-06,-3.219820143923746e-06
94,8.270527299598752e-02,4.493701175791841e-02,2710,1472,8.270263671875000e-02,4.492187500000000e-02,9.411535992466459e-02,-2.636277237524909e-06,-1.513675791840752e-05
95,-2.440192977911781e-01,8.253190211808939e-02,-7996,2704,-2.440185546875000e-01,8.251953125000000e-02,2.575937267665813e-01,7.431036781468947e-07,-1.237086808938970e-05
96,9.752091135777710e-02,-3.826173314164689e-01,3196,-12538,9.753417968750000e-02,-3.826293945312500e-01,3.948647487009501e-01,1.326832972289860e-05,-1.206311478113564e-05
97,3.413849653621481e-01,3.515137945975914e-01,11187,11518,3.414001464843750e-01,3.515014648437500e-01,4.900074895415933e-01,1.518112222687051e-05,-1.232975384135582e-05
98,-5.199903550309715e-01,1.206742939787423e-01,-17039,3954,-5.199890136718750e-01,1.206665039062500e-01,5.338061253904890e-01,1.341359096462824e-06,-7.790072492269706e-06
99,1.605762732254211e-01,-4.973194015196211e-01,5262,-16296,1.605834960937500e-01,-4.973144531250000e-01,5.225980525267093e-01,7.222868328882193e-06,4.948394621062668e-06
100,3.014425395677588e-01,3.454123919064138e-01,9878,11318,3.014526367187500e-01,3.453979492187500e-01,4.584467640950308e-01,1.009715099120623e-05,-1.444268766381818e-05
101,-3.436547950037035e-01,5.974984976843588e-02,-11261,1958,-3.436584472656250e-01,5.975341796875000e-02,3.488145629642898e-01,-3.652261921505140e-06,3.568200314121861e-06
102,7.818234926773074e-02,-1.902680234817699e-01,2562,-6235,7.818603515625000e-02,-1.902770996093750e-01,2.057144397683604e-01,3.685888519261438e-06,-9.076127605062156e-06
103,1.862954811496732e-02,4.144247708162714e-02,610,1358,1.861572265625000e-02,4.144287109375000e-02,4.543189072124997e-02,-1.382545871732310e-05,3.940121228590554e-07
104,1.159444496796575e-01,-3.225880065511363e-02,3799,-1057,1.159362792968750e-01,-3.225708007812500e-02,1.203401016800699e-01,-8.170382782501928e-06,1.720576988634148e-06
105,-8.653053008122523e-02,2.539494881376445e-01,-2835,8321,-8.651733398437500e-02,2.539367675781250e-01,2.682706301625106e-01,1.319609685022927e-05,-1.272055951950790e-05
106,-2.439170318015429e-01,-3.000486698777578e-01,-7993,-9832,-2.439270019531250e-01,-3.000488281250000e-01,3.866906794080064e-01,-9.970151582078257e-06,-1.582472421990389e-07
107,4.601695555717693e-01,-5.823272269818264e-02,15079,-1908,4.601745605468750e-01,-5.822753906250000e-02,4.638438018124038e-01,5.004975105749043e-06,5.183635682637355e-06
108,-2.083075038059109e-01,4.465640298695351e-01,-6826,14633,-2.083129882812500e-01,4.465637207031250e-01,4.927610554161954e-01,-5.484475339129213e-06,-3.091664100840497e-07
109,-2.498888720557778e-01,-4.001546518863633e-01,-8188,-13112,-2.498779296875000e-01,-4.001464843750000e-01,4.717586127487057e-01,1.094236827775541e-05,8.167511363343927e-06
110,4.045786932685097e-01,1.896586522239982e-02,13257,621,4.045715332031250e-01,1.895141601562500e-02,4.050151622437419e-01,-7.160065384703707e-06,-1.444920677481920e-05
111,-2.002948711199332e-01,2.279017482528401e-01,-6563,7468,-2.002868652343750e-01,2.279052734375000e-01,3.034067270942329e-01,8.005885558159953e-06,3.525184659902703e-06
112,6.762498582691456e-03,-1.905131702278333e-01,222,-6243,6.774902343750000e-03,-1.905212402343750e-01,1.906416593565315e-01,1.240376105854368e-05,-8.070006541738284e-06
