tap,coeff_real,coeff_imag,coeff_abs,coeff_phase_rad
160,1.700318582150935e-01,1.884201080257927e-01,2.537971038379458e-01,8.366522973601456e-01
161,-1.371570111676227e-01,-1.202444394402409e-02,1.376830888838508e-01,-3.054147039552474e+00
162,7.269522059397365e-02,2.789392323322519e-02,7.786312381703903e-02,3.663853646066701e-01
163,-1.736998692791416e-01,-3.106827038492277e-02,1.764564592535551e-01,-2.964602418385048e+00
164,2.276445099961091e-01,-1.798908174828248e-01,2.901426013980153e-01,-6.687532661894589e-01
165,2.042576419748088e-02,3.786167886225156e-01,3.791673568094672e-01,1.516900188441488e+00
166,-3.718056072854570e-01,-2.178113815731167e-01,4.309074234121493e-01,-2.611664434367257e+00
167,3.923168453208725e-01,-1.971395600633113e-01,4.390632224002340e-01,-4.656463110344669e-01
168,-4.569309938244848e-02,3.999371395725597e-01,4.025389110889225e-01,1.684553773986116e+00
169,-2.458612681267918e-01,-2.132543498292850e-01,3.254614890982116e-01,-2.427096588072208e+00
170,2.139963587599813e-01,-4.014749171052470e-02,2.177297927550965e-01,-1.854525636787992e-01
171,-7.623359473913620e-02,6.932546448798960e-02,1.030416468876850e-01,2.403618200520368e+00
172,1.011926876424258e-01,-2.637939223121045e-02,1.045745302011230e-01,-2.550093596360240e-01
173,-1.504757966680435e-01,1.609203207078111e-01,2.203141280072323e-01,2.322666101696990e+00
174,-4.909361454289901e-02,-3.251779484773371e-01,3.288630127649146e-01,-1.720639303448097e+00
175,3.659049304946821e-01,1.769883031277639e-01,4.064619017870720e-01,4.505229793589893e-01
176,-3.795342950225294e-01,2.278577543051092e-01,4.426798361064302e-01,2.600907434059152e+00
177,1.531715728784094e-02,-4.326106746802574e-01,4.328817519308107e-01,-1.535404778639103e+00
178,3.072284678620423e-01,2.200398653820828e-01,3.778979674756442e-01,6.215220090265469e-01
179,-2.691029574885979e-01,9.138524145659957e-02,2.841965237035652e-01,2.814219815077388e+00
180,6.903788802664798e-02,-1.507025828477833e-01,1.657633809385323e-01,-1.141221215546065e+00
181,-3.350857285232147e-02,6.905970287292687e-02,7.675980077811743e-02,2.022543424234246e+00
182,8.374958747591454e-02,-1.375191332439027e-01,1.610139913502555e-01,-1.023783137789595e+00
183,7.083883852841473e-02,2.737956321582523e-01,2.828112254366715e-01,1.317619265214862e+00
184,-3.558096667248267e-01,-1.386187436642450e-01,3.818581870667250e-01,-2.770095293483999e+00
185,3.619615307873556e-01,-2.543671949850573e-01,4.424011976187360e-01,-6.125668683342657e-01
186,1.674217756026664e-02,4.560462649078041e-01,4.563534773022098e-01,1.534101229044030e+00
187,-3.610062212073745e-01,-2.175357887499956e-01,4.214822785568931e-01,-2.599276912438094e+00
188,3.106216357465227e-01,-1.419532141955011e-01,3.415208860586411e-01,-4.286575318172811e-01
189,-5.445974253416395e-02,2.202052156113466e-01,2.268395920894919e-01,1.813245010775958e+00
