freq_hz,h1_abs_db,h1_phase_rad,fir_abs_db,fir_phase_rad,total_abs_db,total_phase_rad,target_phase_rad,phase_error_rad,total_group_delay_ns
3804000000.000000,2.088493100000e-02,1.120687378990e+00,-2.026454985627e-02,2.541339881519e+00,6.203811437305e-04,-2.147071396821e+01,-2.147278578729e+01,2.071819076697e-03,1.048279142553e+01
3805000000.000000,2.143982800000e-02,1.107396353814e+00,-1.668292529916e-02,2.485766426706e+00,4.756902700843e-03,-2.153957844820e+01,-2.153954463117e+01,-3.381702390470e-05,1.134391517759e+01
3806000000.000000,2.818919700000e-02,1.089306035976e+00,-1.310782127145e-02,2.430169382194e+00,1.508137572855e-02,-2.161326581055e+01,-2.160630347506e+01,-6.962335485195e-03,1.088831391826e+01
3807000000.000000,1.831230200000e-02,1.081787818283e+00,-9.546180513607e-03,2.374548374175e+00,8.766121486393e-03,-2.167640503626e+01,-2.167306231895e+01,-3.342717308627e-03,1.031208122870e+01
3808000000.000000,5.951023999999e-03,1.070986956315e+00,-6.004667992035e-03,2.318903027330e+00,-5.364399203455e-05,-2.174285124507e+01,-2.173982116284e+01,-3.030082232822e-03,1.070039531060e+01
3809000000.000000,1.074545800000e-02,1.058638097388e+00,-2.489640776162e-03,2.263232961876e+00,8.255817223839e-03,-2.181087016945e+01,-2.180658000673e+01,-4.290162724246e-03,1.028696097800e+01
3810000000.000000,1.894076400000e-02,1.053082428878e+00,9.928794057439e-04,2.207537790622e+00,1.993364340575e-02,-2.187212100922e+01,-2.187333885062e+01,1.217841399782e-03,1.017169217500e+01
3811000000.000000,1.201535000000e-03,1.042232689570e+00,4.437230755028e-03,2.151817116048e+00,5.638765755029e-03,-2.193869142310e+01,-2.194009769451e+01,1.406271407067e-03,1.113685934898e+01
3812000000.000000,1.011321600000e-02,1.024599789971e+00,7.838133048477e-03,2.096070527469e+00,1.795134904848e-02,-2.201207091128e+01,-2.200685653840e+01,-5.214372881902e-03,1.140253911543e+01
3813000000.000000,-3.699316000000e-03,1.010463674870e+00,1.119070616739e-02,2.040297598279e+00,7.491390167393e-03,-2.208197995557e+01,-2.207361538229e+01,-8.364573284599e-03,1.020024877157e+01
3814000000.000000,-1.414447000000e-02,1.007992327692e+00,1.449048546577e-02,1.984497883326e+00,3.460154657704e-04,-2.214025101770e+01,-2.214037422617e+01,1.232084734362e-04,1.004884372657e+01
3815000000.000000,3.322820000007e-04,9.958128621885e-01,1.773343390468e-02,1.928670916446e+00,1.806571590468e-02,-2.220825745008e+01,-2.220713307006e+01,-1.124380020823e-03,1.043849974063e+01
3816000000.000000,4.832305999999e-03,9.884999464455e-01,2.091595089830e-02,1.872816208174e+00,2.574825689830e-02,-2.227142507410e+01,-2.227389191395e+01,2.466839852300e-03,1.032060763921e+01
3817000000.000000,-2.828953999999e-03,9.778579544095e-01,2.403487788372e-02,1.816933243665e+00,2.120592388372e-02,-2.233795003064e+01,-2.234065075784e+01,2.700727197041e-03,1.115258469054e+01
3818000000.000000,-2.525910700000e-02,9.601471612275e-01,2.708750061219e-02,1.761021480862e+00,1.828393612193e-03,-2.241157258663e+01,-2.240740960173e+01,-4.162984899438e-03,1.107568636792e+01
3819000000.000000,-2.785710400000e-02,9.505296694605e-01,3.007154820823e-02,1.705080348907e+00,2.214444208231e-03,-2.247713121035e+01,-2.247416844562e+01,-2.962764733152e-03,1.031255393345e+01
3820000000.000000,-2.509766700000e-02,9.424680205335e-01,3.298518905205e-02,1.649109246848e+00,7.887522052046e-03,-2.254116396134e+01,-2.254092728951e+01,-2.366718301303e-04,1.030233211422e+01
3821000000.000000,-2.906732600000e-02,9.330395521795e-01,3.582702357105e-02,1.593107542648e+00,6.759697571052e-03,-2.260659413389e+01,-2.260768613340e+01,1.091999504897e-03,1.055965712742e+01
3822000000.000000,-2.142227400000e-02,9.218061298465e-01,3.859607406573e-02,1.537074572511e+00,1.717380006573e-02,-2.267386052636e+01,-2.267444497728e+01,5.844509237072e-04,1.088785269902e+01
3823000000.000000,-1.572679400000e-02,9.083166620675e-01,4.129177166263e-02,1.481009640550e+00,2.556497766263e-02,-2.274341492610e+01,-2.274120382117e+01,-2.211104928044e-03,1.117011589748e+01
3824000000.000000,-4.035060200000e-02,8.936008673815e-01,4.391394059018e-02,1.424912018803e+00,3.563338590184e-03,-2.281422834253e+01,-2.280796266506e+01,-6.265677471703e-03,1.035396128480e+01
3825000000.000000,-3.875894200000e-02,8.904336401665e-01,4.646277989769e-02,1.368780947619e+00,7.703837897686e-03,-2.287352664093e+01,-2.287472150895e+01,1.194868018015e-03,1.020805466929e+01
3826000000.000000,-4.131943300000e-02,8.776190515565e-01,4.893884285843e-02,1.312615636402e+00,7.619409858434e-03,-2.294250654076e+01,-2.294148035284e+01,-1.026187920150e-03,1.041761767880e+01
3827000000.000000,-4.182740600000e-02,8.718876783735e-01,5.134301419277e-02,1.256415264742e+00,9.515608192774e-03,-2.300443828560e+01,-2.300823919673e+01,3.800911125065e-03,1.042986716610e+01
3828000000.000000,-6.461939300000e-02,8.589901277785e-01,5.367648538635e-02,1.200178983912e+00,-1.094290761365e-02,-2.307357211703e+01,-2.307499804062e+01,1.425923589679e-03,1.079241014444e+01
3829000000.000000,-5.142517600000e-02,8.487755986645e-01,5.594072829624e-02,1.143905918753e+00,4.515552296240e-03,-2.314005971130e+01,-2.314175688451e+01,1.697173205439e-03,1.055614999603e+01
3830000000.000000,-5.286698900000e-02,8.389214486645e-01,5.813746728739e-02,1.087595169916e+00,5.270478287387e-03,-2.320622461014e+01,-2.320851572839e+01,2.291118256331e-03,1.074229669208e+01
3831000000.000000,-6.766535500000e-02,8.264440194625e-01,6.026865015565e-02,1.031245816473e+00,-7.396704844354e-03,-2.327505139278e+01,-2.327527457228e+01,2.231795009067e-04,1.105541133960e+01
3832000000.000000,-6.521852100000e-02,8.127333035055e-01,6.233641807298e-02,9.748569188871e-01,-2.882102927023e-03,-2.334515100633e+01,-2.334203341617e+01,-3.117590153618e-03,1.035585665529e+01
3833000000.000000,-7.231424400000e-02,8.091267808735e-01,6.434307481856e-02,9.184275223029e-01,-7.971169181436e-03,-2.340518692554e+01,-2.340879226006e+01,3.605334518944e-03,9.892982827667e+00
