freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
3668000000.000000,1.920560308895,-39.043436329372,-6.217868271441,-45.261304600813,4.265078016,5.724541303,9.989619319,9.813229332
3669000000.000000,1.921083907670,-39.066490638225,-6.253820178229,-45.320310816454,3.439937466,5.719216360,9.159153826,9.813229332
3670000000.000000,1.921607506446,-39.086663858465,-6.289738063850,-45.376401922315,3.981807020,5.713715110,9.695522130,9.813229332
3671000000.000000,1.922131105221,-39.116527500951,-6.325620839889,-45.442148340840,4.332929607,5.708043864,10.040973471,9.813229332
3672000000.000000,1.922654703997,-39.141113057752,-6.361467458524,-45.502580516276,4.404318079,5.702209223,10.106527302,9.813229332
3673000000.000000,1.923178302773,-39.171873794235,-6.397276914308,-45.569150708543,4.978898851,5.696218065,10.675116916,9.813229332
3674000000.000000,1.923701901548,-39.203679745971,-6.433048245825,-45.636727991796,3.786817407,5.690077520,9.476894927,9.813229332
3675000000.000000,1.924225500324,-39.219460345224,-6.468780537246,-45.688240882470,3.491428052,5.683794957,9.175223009,9.813229332
3676000000.000000,1.924749099099,-39.247554324841,-6.504472919756,-45.752027244597,4.674842015,5.677377965,10.352219980,9.813229332
3677000000.000000,1.925272697875,-39.278206142544,-6.540124572871,-45.818330715415,4.498049366,5.670834330,10.168883696,9.813229332
3678000000.000000,1.925796296651,-39.304078480218,-6.575734725639,-45.879813205857,3.284996970,5.664172021,8.949168991,9.813229332
3679000000.000000,1.926319895426,-39.319486631941,-6.611302657716,-45.930789289657,4.149216801,5.657399170,9.806615971,9.813229332
3680000000.000000,1.926843494202,-39.356219076293,-6.646827700327,-46.003046776620,5.006734083,5.650524051,10.657258134,9.813229332
3681000000.000000,1.927367092977,-39.382403107990,-6.682309237110,-46.064712345100,3.974405117,5.643555063,9.617960180,9.813229332
3682000000.000000,1.927890691753,-39.406162923965,-6.717746704835,-46.123909628800,3.924664441,5.636500711,9.561165152,9.813229332
3683000000.000000,1.928414290529,-39.431721895894,-6.753139594016,-46.184861489910,4.107357545,5.629369588,9.736727133,9.813229332
3684000000.000000,1.928937889304,-39.457777501116,-6.788487449399,-46.246264950515,4.189118671,5.622170354,9.811289025,9.813229332
3685000000.000000,1.929461488080,-39.484363913665,-6.823789870337,-46.308153784002,4.363223856,5.614911722,9.978135578,9.813229332
3686000000.000000,1.929985086855,-39.512607389161,-6.859046511061,-46.371653900222,4.478378242,5.607602437,10.085980679,9.813229332
