subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
854,20242,3706420898.437500,-1.952126652190e+02,-2.732977313066e+02,-1.851403258912e+02,-2.813144933184e+02,-1.965053522367e+02,-2.846366944945e+02,1.000000000000e+00,-1.285772567916
855,20243,3706604003.906250,3.904253304380e+01,1.171275991314e+02,3.465063755844e+01,1.188546058346e+02,3.792893424707e+01,1.042795536765e+02,1.000000000000e+00,-1.292054819864
856,20244,3706787109.375000,3.904253304380e+01,1.952126652190e+02,3.169219947636e+01,1.970989885286e+02,3.813072736870e+01,1.821621001259e+02,1.000000000000e+00,-1.298335713602
857,20245,3706970214.843750,-2.732977313066e+02,-2.732977313066e+02,-2.634928719236e+02,-2.842392446232e+02,-2.739319348907e+02,-2.846690969222e+02,1.000000000000e+00,-1.304615253699
858,20246,3707153320.312500,2.732977313066e+02,-1.171275991314e+02,2.783803988620e+02,-1.070304824168e+02,2.716172416835e+02,-1.295993374599e+02,1.000000000000e+00,-1.310893444765
859,20247,3707336425.781250,-1.952126652190e+02,3.904253304380e+01,-1.972088025735e+02,3.173594653905e+01,-1.955616904767e+02,2.664206972423e+01,1.000000000000e+00,-1.317170291453
860,20248,3707519531.250000,-3.904253304380e+01,2.732977313066e+02,-4.953289941319e+01,2.726172681993e+02,-3.953432896652e+01,2.603534634915e+02,1.000000000000e+00,-1.323445798455
861,20249,3707702636.718750,-1.952126652190e+02,-1.171275991314e+02,-1.913959546576e+02,-1.249194832202e+02,-1.955195277281e+02,-1.293799541140e+02,1.000000000000e+00,-1.329719970506
862,20250,3707885742.187500,1.952126652190e+02,-2.732977313066e+02,2.062834024643e+02,-2.668482553933e+02,1.945299000465e+02,-2.853945851869e+02,1.000000000000e+00,-1.335992812381
863,20251,3708068847.656250,-1.952126652190e+02,2.732977313066e+02,-2.062656505132e+02,2.669397740332e+02,-1.954526254035e+02,2.605114592348e+02,1.000000000000e+00,-1.342264328894
864,20252,3708251953.125000,-2.732977313066e+02,-1.171275991314e+02,-2.699575224670e+02,-1.277402997331e+02,-2.732861009452e+02,-1.294528215557e+02,1.000000000000e+00,-1.348534524900
865,20253,3708435058.593750,-3.904253304380e+01,-2.732977313066e+02,-2.916417187416e+01,-2.757532518093e+02,-3.924088408819e+01,-2.854418045757e+02,1.000000000000e+00,-1.354803405294
866,20254,3708618164.062500,-3.904253304380e+01,2.732977313066e+02,-4.906297902183e+01,2.729133783315e+02,-3.893704856965e+01,2.605861241645e+02,1.000000000000e+00,-1.361070975009
867,20255,3708801269.531250,-1.171275991314e+02,1.171275991314e+02,-1.217356108446e+02,1.134015018400e+02,-1.168824544095e+02,1.046559495322e+02,1.000000000000e+00,-1.367337239018
868,20256,3708984375.000000,2.732977313066e+02,-1.171275991314e+02,2.784317429339e+02,-1.079972833612e+02,2.730223642642e+02,-1.296842270942e+02,1.000000000000e+00,-1.373602202332
869,20257,3709167480.468750,-2.732977313066e+02,-1.171275991314e+02,-2.703009212922e+02,-1.269062328845e+02,-2.729022648484e+02,-1.289967389484e+02,1.000000000000e+00,-1.379865870002
870,20258,3709350585.937500,3.904253304380e+01,1.171275991314e+02,3.527735210424e+01,1.188509560280e+02,3.956602508361e+01,1.044924055802e+02,1.000000000000e+00,-1.386128247114
871,20259,3709533691.406250,1.171275991314e+02,-1.952126652190e+02,1.238811386995e+02,-1.920910999072e+02,1.169071079533e+02,-2.076171237565e+02,1.000000000000e+00,-1.392389338795
872,20260,3709716796.875000,3.904253304380e+01,-3.904253304380e+01,4.041103097506e+01,-3.794039717544e+01,3.940692015344e+01,-5.147935092476e+01,1.000000000000e+00,-1.398649150207
873,20261,3709899902.343750,2.732977313066e+02,-2.732977313066e+02,2.826184613157e+02,-2.657898840496e+02,2.725024834797e+02,-2.861811189278e+02,1.000000000000e+00,-1.404907686551
874,20262,3710083007.812500,1.171275991314e+02,-2.732977313066e+02,1.258059910484e+02,-2.706270461400e+02,1.166607388001e+02,-2.855951052026e+02,1.000000000000e+00,-1.411164953063
875,20263,3710266113.281250,1.952126652190e+02,3.904253304380e+01,1.946462425066e+02,4.511324978058e+01,1.958338570740e+02,2.599554706091e+01,1.000000000000e+00,-1.417420955018
876,20264,3710449218.750000,-3.904253304380e+01,-3.904253304380e+01,-3.797217154247e+01,-4.035803310637e+01,-3.812951864681e+01,-5.118017049075e+01,1.000000000000e+00,-1.423675697724
877,20265,3710632324.218750,-1.171275991314e+02,-2.732977313066e+02,-1.091129303805e+02,-2.777316903721e+02,-1.165157536962e+02,-2.847939200165e+02,1.000000000000e+00,-1.429929186526
878,20266,3710815429.687500,1.171275991314e+02,1.171275991314e+02,1.138824022271e+02,1.210843799834e+02,1.182864463877e+02,1.043726877959e+02,1.000000000000e+00,-1.436181426807
879,20267,3710998535.156250,1.171275991314e+02,3.904253304380e+01,1.162734238471e+02,4.277123697528e+01,1.182078122443e+02,2.650655724152e+01,1.000000000000e+00,-1.442432423982
880,20268,3711181640.625000,-3.904253304380e+01,2.732977313066e+02,-4.765863866975e+01,2.728375606504e+02,-3.733639532472e+01,2.604757787518e+02,1.000000000000e+00,-1.448682183501
881,20269,3711364746.093750,1.952126652190e+02,1.171275991314e+02,1.920274600188e+02,1.235597024094e+02,1.962310479233e+02,1.045427488605e+02,1.000000000000e+00,-1.454930710852
