freq_hz,stage,equalized_real,equalized_imag,residual_real,residual_imag,residual_abs_percent
4124000000.000000,after_l1_08_fixed_fir,1.001329226092e+00,4.348151675233e-02,1.329226091663e-03,4.348151675233e-02,4.350182917
4125000000.000000,after_l1_08_fixed_fir,1.002245722566e+00,3.884578318113e-02,2.245722566202e-03,3.884578318113e-02,3.891064303
4126000000.000000,after_l1_08_fixed_fir,1.005070780169e+00,3.983116971208e-02,5.070780168728e-03,3.983116971208e-02,4.015264490
4127000000.000000,after_l1_08_fixed_fir,1.004105380219e+00,3.999972377275e-02,4.105380219115e-03,3.999972377275e-02,4.020985014
4128000000.000000,after_l1_08_fixed_fir,1.003995721212e+00,3.222152047031e-02,3.995721211594e-03,3.222152047031e-02,3.246832563
4129000000.000000,after_l1_08_fixed_fir,1.006002280634e+00,3.287259389913e-02,6.002280633976e-03,3.287259389913e-02,3.341608598
4130000000.000000,after_l1_08_fixed_fir,1.004995173437e+00,3.170453615171e-02,4.995173436565e-03,3.170453615171e-02,3.209562852
4131000000.000000,after_l1_08_fixed_fir,1.004391129719e+00,2.422135415788e-02,4.391129718538e-03,2.422135415788e-02,2.461617390
4132000000.000000,after_l1_08_fixed_fir,1.006306579394e+00,2.976273876863e-02,6.306579393888e-03,2.976273876863e-02,3.042356920
4133000000.000000,after_l1_08_fixed_fir,1.004272304746e+00,2.912970789020e-02,4.272304746468e-03,2.912970789020e-02,2.944133947
4134000000.000000,after_l1_08_fixed_fir,1.004720837045e+00,2.408053169712e-02,4.720837044971e-03,2.408053169712e-02,2.453891418
4135000000.000000,after_l1_08_fixed_fir,1.006115650574e+00,2.928373716008e-02,6.115650573867e-03,2.928373716008e-02,2.991552179
4136000000.000000,after_l1_08_fixed_fir,1.005720957903e+00,2.525979538654e-02,5.720957903179e-03,2.525979538654e-02,2.589954869
4137000000.000000,after_l1_08_fixed_fir,1.004172031278e+00,1.811815098567e-02,4.172031277763e-03,1.811815098567e-02,1.859228980
4138000000.000000,after_l1_08_fixed_fir,1.005096806721e+00,1.839756828212e-02,5.096806721198e-03,1.839756828212e-02,1.909052009
4139000000.000000,after_l1_08_fixed_fir,1.006100309232e+00,2.438604637013e-02,6.100309232036e-03,2.438604637013e-02,2.513748258
4140000000.000000,after_l1_08_fixed_fir,1.007602872937e+00,1.862750608081e-02,7.602872937460e-03,1.862750608081e-02,2.011933547
4141000000.000000,after_l1_08_fixed_fir,1.007362023879e+00,1.035268639918e-02,7.362023878808e-03,1.035268639918e-02,1.270344486
4142000000.000000,after_l1_08_fixed_fir,1.007221444323e+00,1.038303062739e-02,7.221444322991e-03,1.038303062739e-02,1.264739432
4143000000.000000,after_l1_08_fixed_fir,1.005363160234e+00,1.248131298714e-02,5.363160234496e-03,1.248131298714e-02,1.358479524
4144000000.000000,after_l1_08_fixed_fir,1.005789116975e+00,1.024732115434e-02,5.789116975454e-03,1.024732115434e-02,1.176951427
4145000000.000000,after_l1_08_fixed_fir,1.006161117166e+00,1.324269952163e-02,6.161117166336e-03,1.324269952163e-02,1.460576788
4146000000.000000,after_l1_08_fixed_fir,1.006146773644e+00,6.811739678689e-03,6.146773644063e-03,6.811739678689e-03,0.917510892
4147000000.000000,after_l1_08_fixed_fir,1.005823563823e+00,1.003866847043e-02,5.823563822536e-03,1.003866847043e-02,1.160554868
4148000000.000000,after_l1_08_fixed_fir,1.006062279842e+00,7.622706244055e-03,6.062279841794e-03,7.622706244055e-03,0.973945005
4149000000.000000,after_l1_08_fixed_fir,1.005907794077e+00,4.571293987677e-03,5.907794076712e-03,4.571293987677e-03,0.746985673
4150000000.000000,after_l1_08_fixed_fir,1.006195592046e+00,1.768358103110e-03,6.195592046348e-03,1.768358103110e-03,0.644301569
4151000000.000000,after_l1_08_fixed_fir,1.007391570403e+00,-9.578441359724e-04,7.391570402715e-03,-9.578441359724e-04,0.745337363
4152000000.000000,after_l1_08_fixed_fir,1.006617389288e+00,-2.314654486391e-04,6.617389288381e-03,-2.314654486391e-04,0.662143619
4153000000.000000,after_l1_08_fixed_fir,1.006921600848e+00,-6.782480606537e-03,6.921600848264e-03,-6.782480606537e-03,0.969074824
4154000000.000000,after_l1_08_fixed_fir,1.007910526097e+00,1.005383865592e-03,7.910526096927e-03,1.005383865592e-03,0.797415951
4155000000.000000,after_l1_08_fixed_fir,1.008385253782e+00,-2.470408009806e-03,8.385253781608e-03,-2.470408009806e-03,0.874159006
4156000000.000000,after_l1_08_fixed_fir,1.007236238713e+00,-6.746899171463e-03,7.236238712852e-03,-6.746899171463e-03,0.989362417
4157000000.000000,after_l1_08_fixed_fir,1.006106351005e+00,-4.850497264096e-03,6.106351004753e-03,-4.850497264096e-03,0.779838742
4158000000.000000,after_l1_08_fixed_fir,1.006070362508e+00,-3.919333694673e-03,6.070362508484e-03,-3.919333694673e-03,0.722568181
4159000000.000000,after_l1_08_fixed_fir,1.006292523464e+00,-8.907546744625e-03,6.292523464117e-03,-8.907546744625e-03,1.090597270
4160000000.000000,after_l1_08_fixed_fir,1.008906543585e+00,-8.438954150774e-03,8.906543584911e-03,-8.438954150774e-03,1.226957480
4161000000.000000,after_l1_08_fixed_fir,1.007889159871e+00,-1.590635285031e-02,7.889159871417e-03,-1.590635285031e-02,1.775530638
4162000000.000000,after_l1_08_fixed_fir,1.006552042449e+00,-3.646430433001e-03,6.552042448568e-03,-3.646430433001e-03,0.749838084
4163000000.000000,after_l1_08_fixed_fir,1.006295328587e+00,-1.341390603146e-02,6.295328587491e-03,-1.341390603146e-02,1.481769338
4164000000.000000,after_l1_08_fixed_fir,1.008741884134e+00,-1.078321106504e-02,8.741884134348e-03,-1.078321106504e-02,1.388157697
4165000000.000000,after_l1_08_fixed_fir,1.007571571525e+00,-1.235906350047e-02,7.571571524813e-03,-1.235906350047e-02,1.449396930
4166000000.000000,after_l1_08_fixed_fir,1.008093544485e+00,-1.770760995858e-02,8.093544484706e-03,-1.770760995858e-02,1.946958944
4167000000.000000,after_l1_08_fixed_fir,1.006307760989e+00,-2.534026529975e-02,6.307760989333e-03,-2.534026529975e-02,2.611353852
4168000000.000000,after_l1_08_fixed_fir,1.008288340921e+00,-1.703486370667e-02,8.288340920849e-03,-1.703486370667e-02,1.894421222
4169000000.000000,after_l1_08_fixed_fir,1.006950885379e+00,-2.154087203499e-02,6.950885379017e-03,-2.154087203499e-02,2.263457478
4170000000.000000,after_l1_08_fixed_fir,1.008916812425e+00,-1.988226073886e-02,8.916812425434e-03,-1.988226073886e-02,2.179022340
4171000000.000000,after_l1_08_fixed_fir,1.008113999153e+00,-2.691446287358e-02,8.113999152773e-03,-2.691446287358e-02,2.811094616
4172000000.000000,after_l1_08_fixed_fir,1.007774810168e+00,-3.070318793491e-02,7.774810168234e-03,-3.070318793491e-02,3.167228161
4173000000.000000,after_l1_08_fixed_fir,1.007144348026e+00,-2.800626788835e-02,7.144348025939e-03,-2.800626788835e-02,2.890316159
4174000000.000000,after_l1_08_fixed_fir,1.007138313763e+00,-2.503805421903e-02,7.138313762712e-03,-2.503805421903e-02,2.603573856
4175000000.000000,after_l1_08_fixed_fir,1.009074805869e+00,-2.318921281889e-02,9.074805869316e-03,-2.318921281889e-02,2.490164036
4176000000.000000,after_l1_08_fixed_fir,1.007161066022e+00,-2.715751927017e-02,7.161066021593e-03,-2.715751927017e-02,2.808579213
4177000000.000000,after_l1_08_fixed_fir,1.007424771640e+00,-3.048645875533e-02,7.424771639584e-03,-3.048645875533e-02,3.137756207
4178000000.000000,after_l1_08_fixed_fir,1.008053755126e+00,-3.222975076072e-02,8.053755125665e-03,-3.222975076072e-02,3.322077371
4179000000.000000,after_l1_08_fixed_fir,1.007215135050e+00,-2.803841269039e-02,7.215135050266e-03,-2.803841269039e-02,2.895186971
4180000000.000000,after_l1_08_fixed_fir,1.010701889094e+00,-2.523726219200e-02,1.070188909352e-02,-2.523726219200e-02,2.741258531
4181000000.000000,after_l1_08_fixed_fir,1.009132238057e+00,-2.577217983827e-02,9.132238056979e-03,-2.577217983827e-02,2.734233029
4182000000.000000,after_l1_08_fixed_fir,1.007814619919e+00,-3.334721088511e-02,7.814619918636e-03,-3.334721088511e-02,3.425061690
4183000000.000000,after_l1_08_fixed_fir,1.007920595045e+00,-3.712325305577e-02,7.920595044580e-03,-3.712325305577e-02,3.795881641
4184000000.000000,after_l1_08_fixed_fir,1.008452335279e+00,-3.506095870147e-02,8.452335278587e-03,-3.506095870147e-02,3.606539611
4185000000.000000,after_l1_08_fixed_fir,1.009023868186e+00,-3.899988706621e-02,9.023868185643e-03,-3.899988706621e-02,4.003025591
4186000000.000000,after_l1_08_fixed_fir,1.007793398105e+00,-3.982624287245e-02,7.793398104889e-03,-3.982624287245e-02,4.058160514
4187000000.000000,after_l1_08_fixed_fir,1.008977011967e+00,-3.770312955303e-02,8.977011966574e-03,-3.770312955303e-02,3.875709899
4188000000.000000,after_l1_08_fixed_fir,1.007810255748e+00,-3.448280386959e-02,7.810255747631e-03,-3.448280386959e-02,3.535624213
4189000000.000000,after_l1_08_fixed_fir,1.008933352110e+00,-3.932167624893e-02,8.933352110271e-03,-3.932167624893e-02,4.032367794
4190000000.000000,after_l1_08_fixed_fir,1.007276064353e+00,-3.890516737694e-02,7.276064352593e-03,-3.890516737694e-02,3.957970643
